role_level,position,age,experience_years,avg_task_completion,attendance_rate,projects_handled,overtime_hours,training_hours,FeedBack
Senior,Data Analyst,35,3,4,5,7,18,6,2
Trainee,Product Manager,55,15,3,5,5,44,16,2
Trainee,Security Analyst,33,7,4,3,11,26,19,3
Trainee,Data Scientist,43,7,1,4,10,19,10,2
Senior,UX Designer,27,6,5,1,9,2,24,3
Senior,Product Manager,57,3,1,3,1,15,23,1
Trainee,Security Analyst,57,13,2,4,1,38,1,1
Senior,Product Manager,43,7,4,2,8,43,26,3
Trainee,Data Analyst,35,5,3,1,3,28,18,1
Trainee,Security Analyst,37,23,5,1,2,14,28,1
Junior,Data Analyst,57,18,3,3,4,29,36,2
Senior,Network Engineer,46,22,5,3,19,39,10,5
Trainee,System Administrator,53,8,5,2,11,48,18,3
Trainee,UI Designer,54,17,5,3,5,0,27,2
Senior,Product Manager,57,20,5,3,10,28,38,4
Junior,Database Administrator,41,27,5,4,8,29,20,3
Junior,DevOps Engineer,39,1,4,1,13,39,25,4
Trainee,Product Manager,59,14,2,4,5,45,21,2
Senior,System Administrator,24,17,1,4,12,31,5,3
Junior,QA Tester,44,10,4,4,13,9,10,3
Senior,Database Administrator,53,12,5,4,8,26,13,2
Senior,Software Engineer,37,16,4,3,15,7,35,5
Trainee,Network Engineer,26,14,5,2,13,35,39,5
Junior,UX Designer,25,27,5,3,1,41,1,1
Trainee,Security Analyst,42,16,1,5,6,34,19,2
Junior,UI Designer,35,8,2,3,11,35,21,3
Junior,Data Scientist,52,23,2,1,13,47,38,4
Junior,Data Scientist,35,28,1,1,1,35,3,1
Junior,Data Scientist,27,10,3,5,11,24,28,4
Junior,Data Analyst,33,29,5,1,11,19,23,3
Senior,Data Scientist,37,17,4,1,8,44,0,1
Trainee,UX Designer,38,27,3,2,3,16,23,1
Senior,Network Engineer,44,29,1,5,19,22,29,5
Junior,Software Engineer,35,18,2,2,12,24,11,3
Trainee,Data Scientist,28,20,3,3,6,47,18,2
Junior,Database Administrator,53,16,2,4,8,48,36,3
Trainee,Product Manager,36,17,1,1,5,30,39,2
Senior,Database Administrator,38,16,3,5,10,5,3,2
Trainee,Product Manager,55,19,2,3,16,34,14,4
Trainee,Data Analyst,26,24,5,3,12,3,19,4
Trainee,UX Designer,48,24,1,5,17,39,19,5
Trainee,Software Engineer,44,8,1,5,6,19,20,2
Trainee,UI Designer,35,6,1,3,9,40,9,2
Junior,System Administrator,36,6,2,1,10,0,29,3
Trainee,Software Engineer,54,21,4,5,14,44,23,4
Trainee,System Administrator,52,29,4,3,14,25,39,5
Senior,Database Administrator,56,9,3,5,17,33,39,5
Trainee,QA Tester,38,4,4,5,16,9,37,5
Senior,System Administrator,49,26,2,1,4,22,2,1
Junior,Network Engineer,40,12,4,5,2,48,28,2
Trainee,DevOps Engineer,44,28,1,2,16,23,7,4
Senior,Network Engineer,53,12,2,4,1,12,28,1
Senior,Product Manager,34,23,4,1,3,28,9,1
Junior,UX Designer,41,17,5,5,11,45,4,3
Trainee,Business Analyst,56,15,4,4,16,26,10,4
Trainee,Data Analyst,26,9,1,4,18,30,3,4
Senior,Database Administrator,30,7,2,5,15,42,34,5
Trainee,DevOps Engineer,50,10,5,3,9,9,39,4
Senior,System Administrator,27,16,1,3,12,30,11,3
Trainee,Data Scientist,46,12,1,5,18,38,20,5
Senior,UX Designer,52,25,1,4,5,9,15,1
Trainee,DevOps Engineer,43,7,2,5,8,23,13,2
Junior,Data Analyst,23,18,2,5,3,32,20,1
Trainee,Product Manager,26,15,3,2,2,13,26,1
Trainee,Database Administrator,48,6,3,3,19,34,35,5
Junior,UX Designer,46,26,5,2,8,44,0,1
Trainee,Data Analyst,29,12,1,4,2,33,0,1
Junior,QA Tester,22,11,2,2,19,16,21,5
Trainee,QA Tester,41,20,3,4,1,20,14,1
Senior,Network Engineer,44,3,4,1,13,31,19,4
Senior,Network Engineer,53,2,3,1,17,2,2,4
Trainee,Data Analyst,32,6,5,1,3,14,13,1
Trainee,DevOps Engineer,45,24,1,1,9,7,8,2
Trainee,Network Engineer,32,22,5,4,5,31,18,2
Senior,Database Administrator,50,25,3,1,6,37,39,3
Trainee,UX Designer,47,5,1,1,4,25,33,2
Senior,DevOps Engineer,37,18,5,1,17,29,3,4
Junior,Network Engineer,56,16,4,4,16,8,32,5
Senior,UI Designer,41,8,1,5,16,31,36,5
Senior,System Administrator,24,25,1,1,11,10,1,2
Junior,UI Designer,22,26,1,4,2,21,26,1
Senior,Security Analyst,22,20,4,3,17,33,16,5
Trainee,QA Tester,38,22,1,2,15,40,30,5
Trainee,Product Manager,23,11,2,4,18,17,5,4
Senior,Software Engineer,50,10,1,1,10,18,30,3
Trainee,System Administrator,41,24,4,4,6,17,2,1
Senior,QA Tester,27,25,5,1,16,36,39,5
Trainee,DevOps Engineer,29,12,5,5,5,17,2,1
Trainee,DevOps Engineer,50,21,1,1,12,11,32,4
Senior,DevOps Engineer,54,28,5,3,6,3,12,2
Trainee,Product Manager,24,6,4,5,14,46,20,4
Senior,UI Designer,56,27,5,1,16,42,36,5
Trainee,Software Engineer,26,20,3,3,7,26,15,2
Trainee,Database Administrator,48,5,3,2,2,4,20,1
Junior,Network Engineer,33,23,4,3,6,5,12,2
Junior,DevOps Engineer,41,9,1,2,9,12,3,2
Senior,Business Analyst,41,26,3,1,7,22,30,3
Junior,Security Analyst,30,27,5,4,2,41,8,1
Senior,System Administrator,25,29,5,3,19,24,32,5
Junior,UX Designer,40,16,5,4,8,45,36,3
Trainee,Network Engineer,59,22,4,2,11,3,36,4
Senior,Business Analyst,48,14,2,2,4,31,23,1
Senior,Software Engineer,34,22,1,3,16,43,24,5
Trainee,Product Manager,34,8,3,3,18,14,28,5
Senior,Database Administrator,43,27,3,2,13,25,39,5
Senior,Database Administrator,49,20,2,2,5,41,35,2
Junior,Software Engineer,43,19,1,2,2,10,14,1
Senior,UX Designer,40,14,3,1,11,8,17,3
Trainee,System Administrator,29,7,4,2,1,10,19,1
Junior,UX Designer,29,5,5,1,13,1,4,3
Junior,Database Administrator,47,18,4,4,5,44,17,2
Trainee,Data Analyst,47,2,4,3,18,26,39,5
Trainee,System Administrator,44,11,4,2,14,25,0,3
Junior,Software Engineer,34,22,5,2,13,7,18,4
Senior,Database Administrator,49,8,4,2,7,20,22,2
Junior,Database Administrator,30,1,5,3,8,20,25,3
Trainee,DevOps Engineer,41,27,5,5,18,7,28,5
Junior,Software Engineer,40,22,5,4,7,0,33,3
Trainee,Software Engineer,33,12,2,4,17,37,18,5
Junior,System Administrator,36,2,1,5,16,12,17,4
Senior,Security Analyst,52,18,1,2,11,8,1,2
Junior,Data Analyst,35,7,1,1,19,27,26,5
Junior,Network Engineer,32,26,1,4,1,5,5,1
Trainee,Software Engineer,47,17,1,1,8,46,38,3
Trainee,Business Analyst,48,22,2,3,1,22,5,1
Trainee,QA Tester,32,23,3,4,9,47,5,2
Junior,Data Scientist,59,14,4,4,19,35,30,5
Senior,Data Scientist,55,24,2,2,9,16,39,4
Trainee,Software Engineer,40,7,4,3,10,8,29,3
Trainee,Business Analyst,27,22,4,4,11,11,20,3
Junior,Security Analyst,59,25,3,5,1,21,17,1
Trainee,DevOps Engineer,49,29,5,4,8,11,22,3
Senior,Product Manager,22,3,1,5,12,5,37,4
Senior,Product Manager,56,27,1,1,1,43,22,1
Trainee,System Administrator,29,6,3,3,10,8,27,3
Trainee,Data Scientist,28,20,1,2,4,36,35,2
Junior,Software Engineer,32,2,3,1,15,2,24,4
Senior,Product Manager,25,17,2,5,19,33,6,5
Senior,Software Engineer,46,12,2,5,6,7,17,2
Trainee,System Administrator,33,12,1,1,5,9,19,1
Junior,Data Scientist,47,17,2,1,5,46,4,1
Senior,UX Designer,59,27,4,2,18,40,17,5
Senior,Security Analyst,33,10,3,5,3,41,39,2
Junior,QA Tester,58,3,1,2,2,42,32,1
Junior,QA Tester,45,20,1,1,4,8,14,1
Senior,Product Manager,37,18,1,1,18,13,34,5
Senior,QA Tester,34,13,1,3,9,36,0,1
Junior,Database Administrator,46,12,5,5,19,26,20,5
Senior,Security Analyst,25,27,1,2,10,40,7,2
Trainee,UX Designer,32,27,4,3,15,31,6,4
Trainee,Security Analyst,53,27,5,1,1,3,39,2
Junior,Database Administrator,28,17,1,3,11,1,39,4
Junior,Database Administrator,32,4,3,4,14,32,29,5
Junior,Software Engineer,49,23,5,2,10,20,37,4
Trainee,System Administrator,44,10,5,2,19,0,34,5
Senior,Network Engineer,44,11,3,5,16,43,1,4
Trainee,UX Designer,49,6,4,1,8,10,7,2
Senior,Network Engineer,47,6,5,4,2,0,37,2
Trainee,System Administrator,46,27,2,2,7,45,3,1
Senior,System Administrator,50,9,5,2,19,10,36,5
Trainee,Database Administrator,40,15,3,4,7,6,20,2
Junior,Data Scientist,54,2,3,5,15,1,12,4
Trainee,Database Administrator,57,4,5,3,8,14,8,2
Senior,Network Engineer,35,5,5,1,14,7,28,4
Trainee,Database Administrator,35,17,2,3,1,46,23,1
Trainee,Software Engineer,56,8,1,3,13,25,15,3
Trainee,Database Administrator,51,8,4,3,3,39,11,1
Junior,Business Analyst,49,22,4,4,6,41,1,1
Trainee,QA Tester,38,12,4,1,19,34,18,5
Junior,Network Engineer,24,21,5,3,15,45,29,5
Junior,Business Analyst,37,8,5,3,4,40,15,1
Trainee,Data Scientist,51,19,3,2,3,40,23,1
Trainee,System Administrator,50,3,1,4,4,20,12,1
Trainee,Product Manager,36,18,3,2,5,37,4,1
Senior,Security Analyst,46,21,4,2,18,7,22,5
Trainee,QA Tester,59,19,4,5,10,42,37,4
Junior,Database Administrator,59,19,3,2,8,31,30,3
Trainee,QA Tester,44,15,3,2,12,7,16,3
Senior,Software Engineer,46,6,2,3,3,43,2,1
Trainee,Data Analyst,28,16,2,5,18,9,25,5
Senior,UI Designer,43,8,3,5,8,22,12,2
Senior,UI Designer,38,16,1,3,1,3,37,1
Trainee,UI Designer,39,18,2,1,14,47,21,4
Junior,Data Analyst,31,20,2,5,13,37,20,4
Senior,Software Engineer,31,16,3,3,12,29,28,4
Trainee,Data Analyst,28,11,1,2,3,40,38,2
Trainee,UI Designer,59,7,5,5,18,22,4,5
Junior,Data Scientist,48,17,3,2,13,4,13,3
Senior,UX Designer,54,17,4,1,15,20,17,4
Senior,Network Engineer,22,12,4,5,10,5,3,2
Trainee,System Administrator,55,13,2,3,1,48,32,1
Trainee,Data Analyst,25,10,3,2,6,16,38,3
Junior,Software Engineer,38,7,5,2,9,24,19,3
Junior,Software Engineer,25,14,4,3,10,23,12,3
Senior,Network Engineer,47,23,5,2,15,21,35,5
Senior,Business Analyst,25,1,4,2,9,12,3,2
Trainee,UX Designer,22,17,1,4,14,16,34,5
Senior,Product Manager,28,4,1,5,11,13,7,3
Junior,QA Tester,51,21,3,3,7,33,39,3
Junior,UI Designer,30,5,2,4,2,25,35,2
Trainee,Database Administrator,56,20,2,4,14,18,5,3
Junior,Product Manager,29,24,5,4,6,25,21,2
Junior,Business Analyst,45,23,2,2,5,2,5,1
Junior,UI Designer,40,25,2,5,5,1,35,3
Junior,UX Designer,57,7,5,3,19,27,8,5
Trainee,Security Analyst,48,10,5,1,19,1,15,5
Trainee,Database Administrator,53,17,2,2,6,21,38,3
Senior,Business Analyst,35,29,5,4,10,6,37,4
Junior,UI Designer,39,7,5,1,14,3,32,5
Senior,UX Designer,49,1,3,1,17,48,17,4
Trainee,DevOps Engineer,50,7,1,4,3,37,11,1
Trainee,Product Manager,37,26,1,5,1,38,26,1
Trainee,Product Manager,56,24,3,4,10,19,0,2
Trainee,QA Tester,52,11,2,2,3,5,14,1
Trainee,Network Engineer,25,9,5,1,5,8,26,2
Trainee,UX Designer,58,12,4,4,19,30,15,5
Trainee,Data Analyst,38,3,4,1,10,25,20,3
Junior,DevOps Engineer,47,4,5,4,16,35,0,4
Senior,Security Analyst,25,4,5,2,1,25,28,1
Trainee,Data Scientist,51,28,2,5,6,27,2,1
Junior,UI Designer,51,25,1,3,9,4,11,2
Junior,Database Administrator,43,13,4,2,5,9,27,2
Senior,DevOps Engineer,32,23,2,5,14,17,38,5
Trainee,UX Designer,23,19,3,2,10,14,36,4
Senior,System Administrator,33,10,4,2,2,32,30,1
Trainee,UI Designer,51,5,5,5,5,4,30,2
Junior,Software Engineer,57,7,3,2,1,36,32,1
Junior,Product Manager,39,24,4,3,10,39,32,4
Junior,Network Engineer,47,16,2,2,9,21,39,4
Junior,UX Designer,28,1,4,1,3,21,10,1
Senior,Security Analyst,22,12,1,1,15,21,28,4
Trainee,Software Engineer,47,2,5,4,4,14,24,2
Trainee,QA Tester,44,7,1,4,13,16,12,3
Senior,Database Administrator,47,11,4,2,6,44,18,2
Trainee,Business Analyst,27,29,1,2,17,27,35,5
Junior,Data Scientist,27,13,2,5,5,21,27,2
Trainee,Data Scientist,29,2,3,5,15,20,3,4
Junior,Software Engineer,45,7,3,3,8,41,2,1
Senior,Product Manager,43,15,1,5,5,16,37,3
Trainee,QA Tester,40,25,2,4,13,4,36,5
Senior,System Administrator,58,11,4,2,1,17,24,1
Trainee,Product Manager,39,2,4,1,1,16,34,1
Junior,DevOps Engineer,52,7,1,1,7,3,28,2
Senior,Network Engineer,58,4,4,5,5,6,28,2
Trainee,Data Scientist,51,11,1,4,14,24,11,3
Junior,DevOps Engineer,54,29,3,4,15,36,34,5
Senior,Security Analyst,31,2,2,1,17,39,19,4
Senior,UI Designer,58,29,3,4,18,39,16,5
Trainee,Data Analyst,33,16,2,4,7,42,11,2
Trainee,UX Designer,51,7,5,5,18,8,35,5
Trainee,Database Administrator,48,13,2,1,19,18,9,4
Junior,QA Tester,30,5,2,4,7,8,17,2
Trainee,Product Manager,42,17,2,1,8,22,29,3
Senior,Data Scientist,33,21,5,4,13,30,7,3
Senior,DevOps Engineer,50,12,4,4,18,31,12,5
Trainee,Business Analyst,54,28,4,1,11,30,30,4
Trainee,Network Engineer,36,19,5,4,9,16,5,2
Senior,Network Engineer,23,7,5,1,1,47,6,1
Junior,UI Designer,39,6,4,5,8,38,20,3
Trainee,UX Designer,24,8,1,2,12,21,37,4
Trainee,UX Designer,28,13,5,4,2,34,27,1
Senior,Network Engineer,39,5,1,5,15,29,20,4
Trainee,Network Engineer,59,2,4,2,18,39,20,5
Junior,Product Manager,58,9,4,3,17,36,23,5
Senior,QA Tester,54,11,4,3,15,25,26,5
Trainee,System Administrator,52,24,3,1,9,5,26,3
Senior,Security Analyst,32,6,4,3,3,33,12,1
Trainee,Business Analyst,25,29,5,4,19,31,28,5
Trainee,Security Analyst,39,26,1,5,18,24,38,5
Trainee,Product Manager,25,7,2,5,8,12,27,3
Junior,DevOps Engineer,55,25,4,3,1,37,36,2
Junior,Data Analyst,50,7,5,4,15,37,28,5
Senior,Network Engineer,45,19,1,5,19,1,21,5
Trainee,Software Engineer,43,6,1,3,10,4,35,4
Trainee,System Administrator,23,11,1,1,12,10,29,4
Junior,QA Tester,27,29,1,3,6,10,27,2
Trainee,UI Designer,46,11,5,5,13,23,22,4
Junior,System Administrator,42,7,4,4,4,13,32,2
Trainee,Network Engineer,37,2,4,4,13,44,3,3
Senior,Data Scientist,52,19,3,1,17,29,2,4
Trainee,QA Tester,35,4,4,5,1,39,31,1
Trainee,Data Analyst,49,26,1,3,5,46,3,1
Junior,Data Scientist,53,6,2,4,17,43,0,4
Trainee,System Administrator,49,17,3,1,18,34,11,4
Trainee,Software Engineer,30,25,1,1,7,20,12,1
Junior,Software Engineer,43,5,3,4,16,4,33,5
Senior,Data Analyst,53,29,2,5,8,37,28,3
Senior,UX Designer,26,28,1,2,12,1,8,3
Junior,Database Administrator,44,7,1,1,14,39,30,4
Junior,Business Analyst,26,9,4,2,19,36,6,5
Junior,Network Engineer,53,25,1,1,11,48,12,2
Junior,UI Designer,31,1,5,1,12,33,1,3
Junior,Network Engineer,36,1,1,4,13,10,32,4
Senior,UX Designer,28,19,5,5,8,35,6,2
Senior,Security Analyst,50,6,5,1,1,10,17,1
Junior,Security Analyst,24,18,5,3,9,8,7,2
Trainee,Security Analyst,40,10,5,2,2,5,11,1
Junior,Software Engineer,31,28,2,1,14,33,29,4
Trainee,Software Engineer,49,11,2,2,13,46,8,3
Junior,DevOps Engineer,50,1,3,3,16,36,27,5
Junior,Data Scientist,36,1,1,1,2,31,3,1
Senior,System Administrator,56,13,1,3,4,11,38,2
Trainee,UI Designer,27,5,5,1,12,44,16,3
Trainee,Data Analyst,33,20,3,2,16,31,10,4
Senior,System Administrator,59,1,4,1,10,16,1,2
Senior,Network Engineer,34,20,5,5,3,3,22,2
Senior,DevOps Engineer,50,3,4,4,4,41,21,2
Senior,Software Engineer,40,18,4,5,6,32,25,2
Trainee,Data Analyst,24,9,4,2,5,42,11,1
Trainee,Software Engineer,29,14,1,2,18,47,31,5
Junior,Database Administrator,29,27,2,2,3,42,8,1
Junior,UI Designer,41,17,5,1,10,8,4,2
Senior,Data Scientist,25,23,5,4,11,33,25,4
Senior,System Administrator,42,14,5,2,19,38,6,5
Senior,System Administrator,24,29,3,2,14,29,28,4
Junior,Security Analyst,29,4,5,4,11,49,32,4
Junior,UX Designer,44,5,1,3,4,19,23,1
Junior,Security Analyst,37,26,1,5,6,38,24,2
Junior,Database Administrator,34,21,3,2,17,22,30,5
Junior,Data Analyst,24,17,3,4,19,40,28,5
Junior,Business Analyst,30,22,2,2,13,43,4,3
Junior,Security Analyst,35,29,2,5,10,34,37,4
Senior,DevOps Engineer,34,25,1,3,11,22,10,3
Senior,Security Analyst,28,2,3,4,6,47,31,3
Senior,Security Analyst,36,23,4,1,2,38,7,1
Senior,Business Analyst,28,22,4,4,1,22,19,1
Junior,UX Designer,59,5,1,2,11,36,33,4
Trainee,UI Designer,55,4,3,3,16,22,7,4
Junior,DevOps Engineer,43,4,4,5,3,38,1,1
Trainee,Security Analyst,45,6,3,5,5,27,20,2
Senior,Database Administrator,58,20,2,3,15,18,14,4
Junior,Data Scientist,22,21,4,5,15,48,5,4
Senior,Business Analyst,31,13,5,1,4,47,4,1
Junior,Data Scientist,37,22,1,5,4,29,2,1
Senior,Business Analyst,29,5,2,4,8,20,15,2
Trainee,Database Administrator,46,23,2,3,7,23,34,3
Trainee,Data Scientist,33,25,3,5,17,20,8,4
Trainee,Business Analyst,46,26,1,5,15,25,34,5
Junior,Network Engineer,38,23,1,2,5,49,18,1
Trainee,Data Scientist,47,7,2,4,13,35,33,4
Junior,UX Designer,35,20,5,1,4,25,38,2
Trainee,QA Tester,57,1,4,5,17,32,9,4
Trainee,DevOps Engineer,44,14,4,4,17,35,9,4
Junior,Data Analyst,27,24,5,1,14,3,19,4
Junior,UI Designer,26,4,1,4,14,8,0,3
Trainee,Network Engineer,46,17,5,3,17,7,5,4
Junior,Product Manager,39,21,3,3,8,1,1,1
Trainee,Software Engineer,34,14,2,2,2,28,37,2
Junior,Database Administrator,35,16,5,2,13,22,32,4
Senior,Database Administrator,49,14,5,4,16,5,2,4
Senior,Security Analyst,39,16,5,2,16,42,35,5
Senior,Data Analyst,49,24,1,3,6,35,12,1
Senior,Software Engineer,48,20,5,4,4,45,34,2
Senior,Database Administrator,53,29,5,1,3,20,14,1
Trainee,DevOps Engineer,30,28,2,3,6,21,21,2
Senior,Data Analyst,53,8,1,3,4,8,3,1
Senior,Data Scientist,41,24,1,4,18,33,16,5
Senior,Data Scientist,49,3,5,2,6,25,4,1
Senior,Product Manager,54,25,3,3,5,0,20,2
Junior,Software Engineer,25,19,2,2,9,35,23,3
Trainee,Database Administrator,55,1,2,5,11,43,30,4
Senior,UI Designer,24,2,2,1,6,4,39,3
Senior,Database Administrator,47,15,4,5,16,40,29,5
Senior,DevOps Engineer,29,22,3,4,19,21,6,5
Trainee,Data Scientist,27,28,5,5,11,3,6,3
Junior,Security Analyst,37,10,4,3,15,47,26,5
Trainee,QA Tester,45,18,4,2,9,1,23,3
Junior,UX Designer,51,22,2,5,19,15,18,5
Senior,UX Designer,34,14,1,1,19,15,33,5
Senior,Business Analyst,26,17,3,1,9,21,21,3
Trainee,UI Designer,46,27,2,2,4,42,26,2
Trainee,Database Administrator,41,13,1,5,10,0,5,2
Junior,UX Designer,39,1,5,4,9,14,9,2
Junior,Business Analyst,39,5,3,3,19,23,30,5
Trainee,Software Engineer,23,26,1,4,15,3,24,4
Junior,Data Scientist,31,13,1,3,19,17,1,4
Trainee,Network Engineer,33,27,2,4,2,16,9,1
Junior,Data Scientist,34,25,5,2,10,6,9,2
Trainee,Network Engineer,32,14,2,5,19,49,25,5
Trainee,Security Analyst,40,24,2,2,17,44,4,4
Trainee,QA Tester,56,3,4,2,2,9,21,1
Junior,Data Analyst,47,15,2,3,19,0,3,4
Junior,UX Designer,35,19,2,3,17,1,33,5
Junior,Software Engineer,45,17,1,4,18,48,6,4
Trainee,Network Engineer,22,3,2,2,17,21,16,4
Junior,System Administrator,43,16,1,2,2,31,10,1
Junior,Database Administrator,44,14,1,3,19,28,7,4
Trainee,UX Designer,40,12,5,3,1,34,27,1
Senior,Database Administrator,39,28,1,1,11,16,32,4
Trainee,UI Designer,33,12,4,3,10,11,24,3
Junior,Security Analyst,49,29,5,2,5,23,20,2
Trainee,Data Analyst,49,11,3,2,16,29,11,4
Senior,UX Designer,54,17,2,2,5,43,25,2
Trainee,Database Administrator,40,8,1,5,12,29,28,4
Junior,Software Engineer,49,17,4,4,4,19,37,2
Senior,UX Designer,58,21,3,2,6,41,34,3
Junior,Network Engineer,47,25,4,4,19,6,36,5
Senior,UI Designer,56,23,1,5,9,41,28,3
Senior,System Administrator,55,20,5,3,12,49,23,4
Trainee,DevOps Engineer,56,11,1,5,15,37,14,4
Trainee,Product Manager,37,25,2,1,16,6,5,3
Junior,System Administrator,59,25,2,5,13,48,31,4
Trainee,Business Analyst,34,2,1,3,7,29,33,3
Trainee,UX Designer,44,10,3,2,4,11,35,2
Senior,Data Scientist,43,10,4,3,11,48,19,3
Trainee,QA Tester,37,11,5,5,8,30,11,2
Senior,Data Scientist,49,28,5,4,6,17,34,3
Senior,System Administrator,56,6,3,3,10,45,37,4
Senior,Network Engineer,29,4,4,1,7,42,16,2
Junior,Data Scientist,43,24,1,3,7,1,26,2
Junior,Software Engineer,42,12,3,2,4,32,16,1
Junior,Data Scientist,47,11,1,1,3,10,10,1
Senior,Data Analyst,42,23,2,3,7,33,38,3
Junior,DevOps Engineer,46,23,2,5,4,15,1,1
Junior,UX Designer,22,27,3,4,13,34,1,3
Trainee,Security Analyst,27,26,3,2,17,32,28,5
Junior,Data Scientist,44,25,5,3,7,20,23,2
Junior,UI Designer,44,13,2,5,17,19,23,5
Senior,Security Analyst,44,5,5,4,4,7,15,1
Senior,DevOps Engineer,53,6,4,4,11,25,30,4
Senior,Database Administrator,51,1,3,5,3,32,8,1
Senior,Network Engineer,34,6,4,5,11,25,26,4
Senior,DevOps Engineer,39,18,1,1,3,36,13,1
Senior,Data Scientist,44,22,5,2,12,29,24,4
Junior,DevOps Engineer,36,9,3,5,1,30,21,1
Senior,Security Analyst,54,24,5,3,4,32,34,2
Senior,QA Tester,42,25,4,1,14,10,32,5
Trainee,Network Engineer,44,29,5,3,1,40,26,1
Junior,Data Scientist,48,15,5,4,14,4,39,5
Junior,Software Engineer,39,26,2,5,13,1,25,4
Junior,System Administrator,45,8,2,2,13,12,18,3
Senior,Data Analyst,28,19,3,3,15,17,38,5
Senior,Product Manager,41,24,3,5,17,25,25,5
Senior,Business Analyst,48,16,2,2,12,24,5,3
Trainee,Network Engineer,27,6,5,1,14,43,2,3
Senior,DevOps Engineer,48,29,3,5,12,13,5,3
Trainee,Software Engineer,30,6,5,3,18,4,27,5
Junior,UX Designer,52,22,5,3,4,41,2,1
Senior,UX Designer,42,3,3,4,14,1,12,4
Trainee,Business Analyst,47,10,5,1,19,3,12,5
Trainee,Network Engineer,34,1,3,5,13,11,12,3
Senior,Network Engineer,44,28,5,2,18,10,0,4
Junior,Data Analyst,41,14,2,2,11,3,39,4
Junior,DevOps Engineer,58,4,2,1,6,42,36,3
Junior,QA Tester,49,26,3,2,9,8,30,3
Trainee,Business Analyst,38,12,3,5,12,9,16,3
Trainee,Data Analyst,49,6,3,5,19,26,8,5
Trainee,DevOps Engineer,23,11,3,5,14,5,12,4
Trainee,Security Analyst,46,12,2,3,15,14,36,5
Junior,Software Engineer,27,10,5,4,11,41,13,3
Senior,System Administrator,32,18,3,3,6,30,10,1
Trainee,QA Tester,59,7,2,5,14,21,24,4
Trainee,Security Analyst,27,7,4,4,3,5,30,2
Junior,Security Analyst,32,11,4,2,19,32,13,5
Senior,Product Manager,35,4,5,2,11,28,6,3
Senior,UX Designer,23,20,3,2,17,20,23,5
Junior,UI Designer,24,1,1,3,17,29,35,5
Junior,Software Engineer,56,13,3,5,3,20,2,1
Senior,UX Designer,54,18,3,1,14,35,25,4
Trainee,Data Scientist,45,9,5,1,7,21,25,2
Senior,Security Analyst,40,26,2,1,19,45,0,4
Junior,UI Designer,39,24,5,4,3,19,14,1
Trainee,Network Engineer,45,24,3,2,2,21,10,1
Trainee,UX Designer,56,9,5,2,17,39,36,5
Junior,Data Analyst,22,23,1,2,9,10,6,2
Junior,QA Tester,57,29,5,4,6,46,11,2
Junior,Database Administrator,46,9,5,3,9,30,37,4
Senior,UX Designer,55,10,5,4,5,39,2,1
Senior,Product Manager,46,28,1,2,2,12,25,1
Trainee,System Administrator,37,2,1,3,15,17,29,5
Junior,Data Analyst,55,6,4,1,9,21,31,3
Trainee,Database Administrator,50,15,1,1,19,16,35,5
Trainee,Software Engineer,40,3,1,3,10,37,36,4
Trainee,Software Engineer,44,11,2,2,4,24,17,1
Trainee,Software Engineer,40,6,3,4,10,31,0,2
Junior,Software Engineer,46,3,3,1,8,14,20,2
Trainee,System Administrator,37,24,1,1,13,12,27,4
Junior,UX Designer,30,11,1,5,7,25,15,2
Junior,DevOps Engineer,22,15,3,3,7,49,27,3
Senior,UX Designer,40,13,3,4,4,10,21,2
Junior,Security Analyst,54,20,1,5,15,12,18,4
Senior,Data Scientist,55,28,2,3,12,32,0,2
Junior,Database Administrator,37,10,5,4,16,49,30,5
Junior,Database Administrator,39,6,5,3,6,36,33,3
Junior,QA Tester,55,15,5,2,9,37,39,4
Senior,UI Designer,46,25,5,2,3,0,5,1
Senior,DevOps Engineer,27,18,2,3,8,38,27,3
Trainee,Database Administrator,42,18,4,2,7,26,2,1
Senior,DevOps Engineer,27,7,3,2,4,35,30,2
Senior,Security Analyst,53,15,4,2,13,31,15,3
Senior,UX Designer,52,18,2,1,19,40,16,5
Senior,DevOps Engineer,31,18,4,1,7,14,26,2
Trainee,Business Analyst,51,20,3,1,10,30,23,3
Senior,Business Analyst,39,9,1,1,12,5,19,3
Junior,Data Scientist,45,24,4,2,3,24,31,2
Junior,Network Engineer,30,2,1,3,12,48,34,4
Senior,UI Designer,52,8,2,1,19,17,12,5
Senior,Product Manager,36,20,1,5,15,21,19,4
Junior,System Administrator,25,2,2,5,8,30,1,1
Junior,UX Designer,30,11,1,3,12,35,3,2
Trainee,System Administrator,30,26,5,4,6,8,26,2
Junior,Product Manager,47,7,3,2,10,45,24,3
Junior,UX Designer,25,6,3,1,2,2,3,1
Senior,UX Designer,38,10,2,5,13,32,31,4
Junior,UI Designer,37,5,4,1,7,26,16,2
Trainee,System Administrator,36,11,4,5,8,42,0,2
Junior,Business Analyst,56,1,4,3,16,0,32,5
Senior,Software Engineer,26,2,4,2,11,43,29,4
Senior,System Administrator,26,24,5,3,4,8,4,1
Junior,QA Tester,41,1,5,3,17,4,11,4
Senior,QA Tester,36,19,4,1,16,14,37,5
Trainee,UX Designer,39,2,2,2,19,49,31,5
Trainee,Software Engineer,23,21,4,4,11,8,37,4
