Age,Gender,Education,Skills,Experience_Years,Previous_Companies,Certifications,Job_Role_Applied,Job_Description,Fit_Score
35,M,B.Sc IT,"Java, Python, Agile, Data Analysis, Leadership",12,"TechSoft, DataCorp, AI Solutions","Python, Java",Data Analyst,Manage projects using Agile and Project Management skills. Leadership required.,0.99
27,F,B.Sc IT,"Project Management, Python, Agile",8,"FinTech Ltd, WebWorks, AI Solutions",Machine Learning,Software Developer,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.99
22,M,B.Sc IT,"SQL, Machine Learning",2,"CodeFactory, GlobalCorp",,Data Analyst,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.7
33,M,B.Tech Computer,"Python, Machine Learning, Leadership, Oracle Java Cert",5,"GlobalCorp, FinTech Ltd, WebWorks",,Data Scientist,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.92
32,M,MBA,"PyTorch, Oracle Java Cert",13,CodeFactory,SQL,Project Manager,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.99
28,M,B.Tech CS,"Data Analysis, Agile",11,"TechSoft, FinTech Ltd",,Software Developer,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.99
35,M,B.Tech Computer,"Data Analysis, NLP, Java, Agile, Python",9,"WebWorks, FinTech Ltd, CodeFactory","AWS Certified, Java",Project Manager,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.99
37,M,B.Tech Computer,"Python, AWS Certified, Java, Data Analysis",4,"CodeFactory, FinTech Ltd, TechSoft",AWS Certified,Data Scientist,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.96
25,F,B.Tech CS,"NLP, PyTorch, Machine Learning",3,"FinTech Ltd, WebWorks",Machine Learning,Project Manager,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.83
39,F,B.Sc IT,"Deep Learning, PyTorch, Data Analysis",8,"AI Solutions, DataCorp",Data Analysis,Project Manager,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.99
25,M,B.Tech CS,"PyTorch, SQL, Agile",3,"WebWorks, DataCorp, TechSoft",,Project Manager,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.82
35,M,B.Tech CS,"Machine Learning, Leadership, AWS Certified",6,"GlobalCorp, DataCorp",,Data Scientist,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.92
39,F,MBA,"NLP, AWS Certified",13,WebWorks,"NLP, TensorFlow",Data Analyst,Manage projects using Agile and Project Management skills. Leadership required.,0.99
32,M,B.Tech Computer,"Leadership, Deep Learning",4,"GlobalCorp, AI Solutions, DataCorp",Oracle Java Cert,Software Developer,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.81
40,F,B.Tech CS,"SQL, Machine Learning, Deep Learning",1,"TechSoft, GlobalCorp, AI Solutions",,Data Analyst,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.72
24,F,M.Sc AI,"Oracle Java Cert, Python, AWS Certified, Project Management, Java",5,TechSoft,,Data Scientist,Manage projects using Agile and Project Management skills. Leadership required.,0.98
38,M,M.Sc AI,"SQL, Oracle Java Cert, Deep Learning",10,"WebWorks, AI Labs, AI Solutions",,AI Engineer,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.99
28,M,B.Tech Computer,"Oracle Java Cert, Project Management, AWS Certified",12,"WebWorks, FinTech Ltd, DataCorp",,Project Manager,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.99
32,M,B.Tech CS,"Oracle Java Cert, Python",9,FinTech Ltd,"Oracle Java Cert, SQL",Software Developer,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.99
37,F,MBA,"PyTorch, NLP, Java",13,TechSoft,"SQL, TensorFlow",AI Engineer,Manage projects using Agile and Project Management skills. Leadership required.,0.99
28,F,MBA,"Python, Java",4,"GlobalCorp, TechSoft, CodeFactory","Java, Project Management",Project Manager,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.89
25,F,B.Tech Computer,"Deep Learning, Project Management, Machine Learning, Oracle Java Cert, TensorFlow",13,WebWorks,PyTorch,Data Scientist,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.99
38,M,M.Sc AI,"PyTorch, Java, TensorFlow",11,"AI Solutions, AI Labs, FinTech Ltd",,Data Analyst,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.99
36,F,MBA,"Leadership, NLP, Data Analysis, Python, Agile",4,"DataCorp, AI Labs",Deep Learning,Data Analyst,Manage projects using Agile and Project Management skills. Leadership required.,0.96
40,F,M.Sc AI,"Agile, PyTorch, Python",1,"FinTech Ltd, TechSoft, AI Labs","Agile, SQL",Data Scientist,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.77
40,M,M.Sc AI,"PyTorch, Leadership",10,TechSoft,"Deep Learning, NLP",Software Developer,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.99
39,F,B.Tech CS,"Deep Learning, Project Management, Leadership, PyTorch",2,"TechSoft, FinTech Ltd","SQL, Machine Learning",AI Engineer,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.85
25,M,B.Sc IT,"TensorFlow, Java, Python",2,"WebWorks, GlobalCorp, DataCorp",NLP,Project Manager,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.77
40,F,B.Sc IT,"SQL, PyTorch, Python, Project Management, Data Analysis",1,"CodeFactory, AI Solutions, DataCorp","PyTorch, NLP",Data Analyst,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.87
22,M,M.Sc AI,"Deep Learning, Machine Learning",9,"GlobalCorp, DataCorp",,Project Manager,Manage projects using Agile and Project Management skills. Leadership required.,0.99
24,M,M.Sc AI,"Deep Learning, Project Management, Leadership",6,"DataCorp, CodeFactory, GlobalCorp",Deep Learning,Data Scientist,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.98
34,F,B.Tech CS,"SQL, Leadership",14,"GlobalCorp, FinTech Ltd, CodeFactory",SQL,Data Scientist,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.99
29,M,B.Sc IT,"Agile, NLP",6,"CodeFactory, DataCorp","Java, Deep Learning",Data Analyst,Manage projects using Agile and Project Management skills. Leadership required.,0.99
37,M,MBA,"Machine Learning, SQL, AWS Certified",14,"FinTech Ltd, AI Solutions, DataCorp",Agile,Software Developer,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.99
31,F,MBA,"Java, SQL, Oracle Java Cert, PyTorch",12,FinTech Ltd,"Java, NLP",Data Scientist,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.99
39,M,MBA,"SQL, Deep Learning, Oracle Java Cert",4,"GlobalCorp, TechSoft",,AI Engineer,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.86
33,F,B.Tech CS,"Leadership, NLP",15,"WebWorks, CodeFactory","Data Analysis, Machine Learning",AI Engineer,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.99
25,F,B.Sc IT,"SQL, NLP, Java",7,CodeFactory,Python,Project Manager,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.99
40,M,MBA,"SQL, Agile, PyTorch, Deep Learning, Python",9,FinTech Ltd,,Data Scientist,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.99
32,F,B.Tech CS,"Agile, Deep Learning, TensorFlow",6,"CodeFactory, GlobalCorp",,Data Analyst,Manage projects using Agile and Project Management skills. Leadership required.,0.97
37,M,B.Tech CS,"Agile, PyTorch, NLP",3,TechSoft,Agile,Software Developer,Manage projects using Agile and Project Management skills. Leadership required.,0.85
23,M,B.Tech CS,"SQL, Python, NLP, PyTorch, Deep Learning",9,"CodeFactory, TechSoft",Deep Learning,Data Scientist,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.99
34,F,B.Tech Computer,"Agile, NLP, SQL, Java, Machine Learning",6,"AI Labs, WebWorks, DataCorp","PyTorch, SQL",Project Manager,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.99
30,F,MBA,"Agile, AWS Certified, SQL",15,"CodeFactory, DataCorp","Java, Project Management",Data Analyst,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.99
40,M,M.Sc AI,"Oracle Java Cert, Deep Learning",15,"GlobalCorp, WebWorks, FinTech Ltd",,AI Engineer,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.99
40,F,B.Tech Computer,"Leadership, Java, Data Analysis",4,"AI Labs, WebWorks, FinTech Ltd","Project Management, SQL",AI Engineer,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.94
34,M,M.Sc AI,"Python, SQL, Data Analysis",2,TechSoft,Deep Learning,Software Developer,Manage projects using Agile and Project Management skills. Leadership required.,0.78
25,F,B.Sc IT,"Java, AWS Certified, SQL",7,DataCorp,NLP,Data Scientist,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.99
30,F,B.Sc IT,"SQL, Leadership, Deep Learning, Agile, Data Analysis",15,"TechSoft, DataCorp, WebWorks",PyTorch,Project Manager,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.99
24,F,B.Tech CS,"AWS Certified, Machine Learning, PyTorch, Agile, Python",9,"AI Solutions, GlobalCorp","SQL, NLP",Software Developer,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.99
28,M,B.Tech CS,"AWS Certified, Machine Learning",7,"CodeFactory, DataCorp, GlobalCorp",AWS Certified,Data Analyst,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.96
40,F,MBA,"Java, Python, SQL, Oracle Java Cert, Deep Learning",3,"AI Labs, FinTech Ltd, DataCorp",,Software Developer,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.91
22,M,B.Tech Computer,"TensorFlow, Agile, Java, AWS Certified",10,"AI Labs, DataCorp, WebWorks",SQL,AI Engineer,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.99
37,M,B.Tech CS,"Python, AWS Certified, Agile, Project Management, Machine Learning",14,AI Labs,PyTorch,Software Developer,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.99
39,F,M.Sc AI,"Oracle Java Cert, SQL, Project Management, TensorFlow",13,"CodeFactory, AI Solutions",,Data Scientist,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.99
37,F,M.Sc AI,"Agile, Deep Learning, Python, Java",7,"WebWorks, GlobalCorp, AI Solutions",Leadership,Data Scientist,Manage projects using Agile and Project Management skills. Leadership required.,0.99
37,F,B.Sc IT,"Machine Learning, Data Analysis, Leadership",4,"AI Solutions, CodeFactory, FinTech Ltd","AWS Certified, Java",Software Developer,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.92
32,F,B.Tech Computer,"Oracle Java Cert, SQL, Machine Learning, Project Management, AWS Certified",7,GlobalCorp,,AI Engineer,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.99
28,F,B.Tech Computer,"Machine Learning, TensorFlow",2,CodeFactory,Oracle Java Cert,Data Scientist,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.74
29,F,B.Tech Computer,"Project Management, Deep Learning, Data Analysis",15,TechSoft,"Data Analysis, Python",Data Scientist,Manage projects using Agile and Project Management skills. Leadership required.,0.99
36,F,M.Sc AI,"Java, PyTorch, Deep Learning",2,"GlobalCorp, DataCorp, TechSoft","Data Analysis, TensorFlow",Data Scientist,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.83
34,F,B.Tech Computer,"Python, Leadership, AWS Certified",12,"CodeFactory, AI Solutions, FinTech Ltd",,Data Scientist,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.99
34,F,B.Tech CS,"Leadership, Java, AWS Certified",13,"WebWorks, AI Labs, DataCorp",,AI Engineer,Manage projects using Agile and Project Management skills. Leadership required.,0.99
23,F,B.Sc IT,"NLP, Java, Project Management",15,FinTech Ltd,Leadership,Data Scientist,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.99
31,F,B.Sc IT,"Leadership, Project Management, TensorFlow",7,"FinTech Ltd, AI Labs",Machine Learning,Data Analyst,Manage projects using Agile and Project Management skills. Leadership required.,0.99
29,F,B.Tech Computer,"Python, NLP, SQL, Data Analysis",7,"WebWorks, FinTech Ltd",,Data Analyst,Manage projects using Agile and Project Management skills. Leadership required.,0.99
38,M,B.Sc IT,"Machine Learning, NLP",7,"FinTech Ltd, CodeFactory",NLP,Data Scientist,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.99
26,F,B.Tech CS,"TensorFlow, Deep Learning",11,"CodeFactory, AI Solutions, AI Labs",AWS Certified,Data Scientist,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.99
39,M,M.Sc AI,"SQL, NLP",7,TechSoft,,Project Manager,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.93
34,F,MBA,"Java, Oracle Java Cert, Machine Learning",1,AI Labs,SQL,Data Scientist,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.73
30,M,M.Sc AI,"Oracle Java Cert, Machine Learning",3,CodeFactory,"SQL, TensorFlow",Data Scientist,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.8
23,M,B.Sc IT,"Java, TensorFlow, Project Management, Python",10,"FinTech Ltd, GlobalCorp, DataCorp","Deep Learning, Python",Data Analyst,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.99
34,M,B.Sc IT,"Machine Learning, SQL",7,"WebWorks, FinTech Ltd, CodeFactory",,Project Manager,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.93
24,M,B.Tech Computer,"Project Management, Python, SQL",15,"CodeFactory, TechSoft, GlobalCorp",,Project Manager,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.99
32,F,B.Tech Computer,"Project Management, Data Analysis",11,AI Solutions,,Software Developer,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.99
36,F,MBA,"AWS Certified, Python, Oracle Java Cert, TensorFlow",8,"AI Solutions, FinTech Ltd, TechSoft",,Software Developer,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.99
33,F,B.Sc IT,"NLP, PyTorch, TensorFlow, Project Management, Leadership",9,TechSoft,"Project Management, Python",AI Engineer,Manage projects using Agile and Project Management skills. Leadership required.,0.99
27,M,B.Tech CS,"Deep Learning, Machine Learning",7,"TechSoft, FinTech Ltd, AI Solutions",Python,Project Manager,Manage projects using Agile and Project Management skills. Leadership required.,0.97
33,M,MBA,"NLP, Agile, PyTorch, Java, SQL",14,CodeFactory,,Data Analyst,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.99
35,F,M.Sc AI,"Oracle Java Cert, Machine Learning, Data Analysis, TensorFlow, SQL",5,"TechSoft, GlobalCorp, AI Labs",PyTorch,Data Analyst,Manage projects using Agile and Project Management skills. Leadership required.,0.99
24,F,M.Sc AI,"Data Analysis, NLP, Machine Learning",8,GlobalCorp,"Java, TensorFlow",Data Scientist,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.99
34,F,M.Sc AI,"Python, TensorFlow, SQL",14,"AI Solutions, FinTech Ltd",Deep Learning,Software Developer,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.99
37,F,B.Tech CS,"Oracle Java Cert, Machine Learning, Python, TensorFlow",10,CodeFactory,"Leadership, Oracle Java Cert",Data Analyst,Manage projects using Agile and Project Management skills. Leadership required.,0.99
24,M,B.Sc IT,"Oracle Java Cert, SQL, Data Analysis, Machine Learning",10,"GlobalCorp, DataCorp, FinTech Ltd","Python, SQL",Software Developer,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.99
30,F,B.Tech Computer,"AWS Certified, Data Analysis, Deep Learning, Project Management, NLP",10,AI Labs,,Data Analyst,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.99
36,F,B.Tech CS,"Java, NLP, Deep Learning, Project Management, Python",9,"GlobalCorp, WebWorks, FinTech Ltd",,Data Scientist,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.99
22,M,M.Sc AI,"Deep Learning, TensorFlow, Machine Learning, Oracle Java Cert, Python",10,"CodeFactory, WebWorks","PyTorch, Leadership",Project Manager,Manage projects using Agile and Project Management skills. Leadership required.,0.99
22,F,MBA,"Project Management, NLP, Oracle Java Cert, Machine Learning, Deep Learning",8,"DataCorp, AI Solutions, WebWorks","Oracle Java Cert, NLP",AI Engineer,Manage projects using Agile and Project Management skills. Leadership required.,0.99
40,F,B.Sc IT,"AWS Certified, Python",6,CodeFactory,,AI Engineer,Manage projects using Agile and Project Management skills. Leadership required.,0.89
34,F,B.Tech Computer,"PyTorch, SQL, Data Analysis, Leadership",3,"AI Solutions, CodeFactory","Machine Learning, Java",Data Scientist,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.89
30,F,B.Sc IT,"NLP, Deep Learning",10,TechSoft,,Project Manager,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.99
37,F,MBA,"Oracle Java Cert, SQL, TensorFlow, PyTorch",9,TechSoft,"AWS Certified, Deep Learning",Data Analyst,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.99
25,M,MBA,"PyTorch, Machine Learning, Oracle Java Cert, SQL, AWS Certified",15,GlobalCorp,"Deep Learning, AWS Certified",Data Analyst,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.99
22,M,B.Sc IT,"Oracle Java Cert, Deep Learning, Project Management, Data Analysis, Python",9,AI Solutions,"NLP, Agile",Data Scientist,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.99
22,F,M.Sc AI,"AWS Certified, Deep Learning",7,"AI Solutions, WebWorks","PyTorch, TensorFlow",Data Scientist,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.99
24,M,B.Sc IT,"Agile, PyTorch, NLP, TensorFlow, Python",12,"DataCorp, FinTech Ltd","Deep Learning, Java",Project Manager,Manage projects using Agile and Project Management skills. Leadership required.,0.99
32,M,B.Tech CS,"TensorFlow, Agile",5,CodeFactory,NLP,Project Manager,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.86
23,M,B.Tech Computer,"Java, PyTorch, Oracle Java Cert, Data Analysis",13,"FinTech Ltd, GlobalCorp, DataCorp",Deep Learning,Project Manager,Manage projects using Agile and Project Management skills. Leadership required.,0.99
32,F,B.Tech CS,"Deep Learning, AWS Certified, Agile, Machine Learning",5,"CodeFactory, TechSoft, AI Solutions","PyTorch, Machine Learning",AI Engineer,Manage projects using Agile and Project Management skills. Leadership required.,0.99
28,F,B.Sc IT,"Leadership, NLP",6,"WebWorks, AI Solutions",Oracle Java Cert,Data Scientist,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.91
36,M,B.Tech Computer,"Machine Learning, NLP, Oracle Java Cert, TensorFlow, Agile",6,DataCorp,Oracle Java Cert,Data Analyst,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.99
30,M,B.Tech CS,"Oracle Java Cert, Java, Python, Data Analysis",13,"CodeFactory, WebWorks, FinTech Ltd",PyTorch,Software Developer,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.99
40,M,M.Sc AI,"Machine Learning, Agile",10,FinTech Ltd,"Project Management, Data Analysis",Data Scientist,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.99
22,M,B.Tech Computer,"Deep Learning, Agile",10,"TechSoft, AI Solutions, FinTech Ltd",Python,Data Analyst,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.99
28,M,MBA,"SQL, Leadership",3,"CodeFactory, GlobalCorp","Project Management, Deep Learning",Project Manager,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.83
33,M,B.Sc IT,"AWS Certified, Python, Leadership, Deep Learning",1,"WebWorks, CodeFactory",,Data Scientist,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.75
27,F,B.Tech CS,"Python, Machine Learning",15,"FinTech Ltd, GlobalCorp",Deep Learning,AI Engineer,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.99
28,M,B.Tech Computer,"Data Analysis, TensorFlow, Deep Learning",2,"TechSoft, CodeFactory",,Project Manager,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.76
32,F,B.Tech Computer,"Python, Data Analysis",2,"GlobalCorp, WebWorks",Deep Learning,Data Scientist,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.74
34,M,B.Sc IT,"Project Management, Machine Learning",12,"DataCorp, FinTech Ltd, TechSoft",Agile,Data Scientist,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.99
23,M,B.Sc IT,"Project Management, SQL",5,AI Solutions,"Python, AWS Certified",Project Manager,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.9
37,F,B.Sc IT,"Deep Learning, Java, PyTorch, Agile, Project Management",13,"AI Labs, CodeFactory",Deep Learning,Data Scientist,Manage projects using Agile and Project Management skills. Leadership required.,0.99
39,M,M.Sc AI,"AWS Certified, Machine Learning, NLP",4,"TechSoft, GlobalCorp, DataCorp",SQL,Data Analyst,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.87
32,F,M.Sc AI,"NLP, Leadership, PyTorch",10,"AI Solutions, TechSoft, AI Labs",,Data Scientist,Manage projects using Agile and Project Management skills. Leadership required.,0.99
24,M,B.Tech CS,"Project Management, TensorFlow",13,"CodeFactory, WebWorks","NLP, Deep Learning",Project Manager,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.99
24,M,B.Tech Computer,"Oracle Java Cert, SQL",6,AI Solutions,,Data Analyst,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.93
32,F,M.Sc AI,"SQL, Leadership, Machine Learning",14,"TechSoft, FinTech Ltd, DataCorp","Deep Learning, Agile",Project Manager,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.99
33,M,M.Sc AI,"Machine Learning, PyTorch, SQL, Data Analysis, Java",4,TechSoft,,AI Engineer,Manage projects using Agile and Project Management skills. Leadership required.,0.92
37,F,B.Tech CS,"Data Analysis, Machine Learning",15,CodeFactory,TensorFlow,AI Engineer,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.99
30,M,B.Sc IT,"Machine Learning, AWS Certified, NLP, Oracle Java Cert, PyTorch",3,DataCorp,"Oracle Java Cert, Machine Learning",Project Manager,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.94
32,M,MBA,"Project Management, AWS Certified, Java, NLP, TensorFlow",1,TechSoft,Python,Data Analyst,Manage projects using Agile and Project Management skills. Leadership required.,0.85
28,M,B.Tech CS,"Oracle Java Cert, Agile, Data Analysis",11,"AI Solutions, FinTech Ltd",,Project Manager,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.99
26,F,B.Tech CS,"NLP, Deep Learning, Machine Learning, Data Analysis, Leadership",15,"AI Solutions, DataCorp",,Data Scientist,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.99
32,M,B.Sc IT,"AWS Certified, Machine Learning, Leadership, Python",14,CodeFactory,,Project Manager,Manage projects using Agile and Project Management skills. Leadership required.,0.99
25,M,B.Tech Computer,"Leadership, Oracle Java Cert, NLP",6,AI Labs,"Project Management, Agile",AI Engineer,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.99
40,F,B.Tech Computer,"Java, Project Management, Deep Learning, SQL",3,"WebWorks, FinTech Ltd","Java, AWS Certified",Software Developer,Manage projects using Agile and Project Management skills. Leadership required.,0.91
36,F,M.Sc AI,"SQL, Python, Machine Learning, NLP, AWS Certified",3,"DataCorp, AI Labs, FinTech Ltd","TensorFlow, Agile",Project Manager,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.93
40,M,M.Sc AI,"Data Analysis, TensorFlow",3,"WebWorks, GlobalCorp, AI Labs",,Project Manager,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.78
25,M,MBA,"AWS Certified, Python, Leadership, Data Analysis",3,"TechSoft, WebWorks","Machine Learning, Project Management",Project Manager,Manage projects using Agile and Project Management skills. Leadership required.,0.92
32,F,B.Sc IT,"Agile, TensorFlow, Leadership, Python",6,"FinTech Ltd, AI Labs, WebWorks",,Data Analyst,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.99
31,M,MBA,"Python, Deep Learning, SQL, PyTorch, Agile",3,"DataCorp, AI Labs","NLP, Deep Learning",Data Scientist,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.97
40,M,B.Tech Computer,"Leadership, SQL, Python, Oracle Java Cert, PyTorch",10,AI Labs,,Project Manager,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.99
33,F,B.Tech CS,"AWS Certified, NLP, Python, Agile",6,"GlobalCorp, AI Solutions",,Project Manager,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.99
39,F,M.Sc AI,"Python, SQL, PyTorch, Deep Learning",13,"AI Labs, TechSoft, CodeFactory",Agile,Project Manager,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.99
31,F,M.Sc AI,"PyTorch, Data Analysis",2,WebWorks,,AI Engineer,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.7
33,M,B.Tech Computer,"Leadership, SQL, Java, Oracle Java Cert, PyTorch",3,"CodeFactory, DataCorp",,Data Analyst,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.87
40,M,MBA,"NLP, Deep Learning",11,"DataCorp, WebWorks",,Software Developer,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.99
35,M,B.Sc IT,"PyTorch, Agile",15,"WebWorks, AI Solutions","Agile, Oracle Java Cert",AI Engineer,Manage projects using Agile and Project Management skills. Leadership required.,0.99
35,M,B.Tech Computer,"Machine Learning, SQL",10,"AI Solutions, GlobalCorp","Java, Oracle Java Cert",Data Scientist,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.99
